id,priority,skillId,targetWord,pair,itemType,imageNeeded,audioNeeded,suggestedImagePath,suggestedAudioPath,imagePrompt,audioPrompt,reason,existingImageCount,existingAudioCount,sourcePromptType,notes
wm-0001,P1,adjectives,angry,,adjective,true,true,public/images/assessment/language/variants/adjectives/angry-01.webp,public/audio/vocabulary/angry.mp3,"Create a clear child-friendly cartoon-realistic image showing the adjective ""angry"". Use a simple scene that makes the property obvious. No text, labels, signs, speech bubbles, logos, or watermarks. Natural colors; no random rainbow/sparkle/kawaii treatment.","Record clean child-friendly American English audio for ""angry"". Say the whole word naturally only once. Do not spell it. No music, sound effects, echo, robotic voice, or background noise. Normalize volume to match the existing approved vocabulary audio.",Active grammar runtime gap: strict grammar variants need approved image and choice audio.,0,0,visual_adjective_image_and_word_audio,
wm-0002,P1,adjectives,awake,,adjective,true,true,public/images/assessment/language/variants/adjectives/awake-01.webp,public/audio/vocabulary/awake.mp3,"Create a clear child-friendly cartoon-realistic image showing the adjective ""awake"". Use a simple scene that makes the property obvious. No text, labels, signs, speech bubbles, logos, or watermarks. Natural colors; no random rainbow/sparkle/kawaii treatment.","Record clean child-friendly American English audio for ""awake"". Say the whole word naturally only once. Do not spell it. No music, sound effects, echo, robotic voice, or background noise. Normalize volume to match the existing approved vocabulary audio.",Active grammar runtime gap: strict grammar variants need approved image and choice audio.,0,0,visual_adjective_image_and_word_audio,
wm-0003,P1,adjectives,best,,adjective,false,true,,public/audio/vocabulary/best.mp3,,"Record clean child-friendly American English audio for ""best"". Say the whole word naturally only once. Do not spell it. No music, sound effects, echo, robotic voice, or background noise. Normalize volume to match the existing approved vocabulary audio.",Active grammar runtime gap: strict grammar variants need approved image and choice audio.,1,0,visual_adjective_image_and_word_audio,
wm-0004,P1,adjectives,better,,adjective,false,true,,public/audio/vocabulary/better.mp3,,"Record clean child-friendly American English audio for ""better"". Say the whole word naturally only once. Do not spell it. No music, sound effects, echo, robotic voice, or background noise. Normalize volume to match the existing approved vocabulary audio.",Active grammar runtime gap: strict grammar variants need approved image and choice audio.,1,0,visual_adjective_image_and_word_audio,
wm-0005,P1,adjectives,brave,,adjective,false,true,,public/audio/vocabulary/brave.mp3,,"Record clean child-friendly American English audio for ""brave"". Say the whole word naturally only once. Do not spell it. No music, sound effects, echo, robotic voice, or background noise. Normalize volume to match the existing approved vocabulary audio.",Active grammar runtime gap: strict grammar variants need approved image and choice audio.,2,0,visual_adjective_image_and_word_audio,
wm-0006,P1,adjectives,brown,,adjective,false,true,,public/audio/vocabulary/brown.mp3,,"Record clean child-friendly American English audio for ""brown"". Say the whole word naturally only once. Do not spell it. No music, sound effects, echo, robotic voice, or background noise. Normalize volume to match the existing approved vocabulary audio.",Active grammar runtime gap: strict grammar variants need approved image and choice audio.,1,0,visual_adjective_image_and_word_audio,
wm-0007,P1,adjectives,bumpy,,adjective,false,true,,public/audio/vocabulary/bumpy.mp3,,"Record clean child-friendly American English audio for ""bumpy"". Say the whole word naturally only once. Do not spell it. No music, sound effects, echo, robotic voice, or background noise. Normalize volume to match the existing approved vocabulary audio.",Active grammar runtime gap: strict grammar variants need approved image and choice audio.,1,0,visual_adjective_image_and_word_audio,
wm-0008,P1,adjectives,busy,,adjective,true,true,public/images/assessment/language/variants/adjectives/busy-01.webp,public/audio/vocabulary/busy.mp3,"Create a clear child-friendly cartoon-realistic image showing the adjective ""busy"". Use a simple scene that makes the property obvious. No text, labels, signs, speech bubbles, logos, or watermarks. Natural colors; no random rainbow/sparkle/kawaii treatment.","Record clean child-friendly American English audio for ""busy"". Say the whole word naturally only once. Do not spell it. No music, sound effects, echo, robotic voice, or background noise. Normalize volume to match the existing approved vocabulary audio.",Active grammar runtime gap: strict grammar variants need approved image and choice audio.,0,0,visual_adjective_image_and_word_audio,
wm-0009,P1,adjectives,calm,,adjective,false,true,,public/audio/vocabulary/calm.mp3,,"Record clean child-friendly American English audio for ""calm"". Say the whole word naturally only once. Do not spell it. No music, sound effects, echo, robotic voice, or background noise. Normalize volume to match the existing approved vocabulary audio.",Active grammar runtime gap: strict grammar variants need approved image and choice audio.,1,0,visual_adjective_image_and_word_audio,
wm-0010,P1,adjectives,careful,,adjective,true,true,public/images/assessment/language/variants/adjectives/careful-01.webp,public/audio/vocabulary/careful.mp3,"Create a clear child-friendly cartoon-realistic image showing the adjective ""careful"". Use a simple scene that makes the property obvious. No text, labels, signs, speech bubbles, logos, or watermarks. Natural colors; no random rainbow/sparkle/kawaii treatment.","Record clean child-friendly American English audio for ""careful"". Say the whole word naturally only once. Do not spell it. No music, sound effects, echo, robotic voice, or background noise. Normalize volume to match the existing approved vocabulary audio.",Active grammar runtime gap: strict grammar variants need approved image and choice audio.,0,0,visual_adjective_image_and_word_audio,
wm-0011,P1,adjectives,careless,,adjective,true,true,public/images/assessment/language/variants/adjectives/careless-01.webp,public/audio/vocabulary/careless.mp3,"Create a clear child-friendly cartoon-realistic image showing the adjective ""careless"". Use a simple scene that makes the property obvious. No text, labels, signs, speech bubbles, logos, or watermarks. Natural colors; no random rainbow/sparkle/kawaii treatment.","Record clean child-friendly American English audio for ""careless"". Say the whole word naturally only once. Do not spell it. No music, sound effects, echo, robotic voice, or background noise. Normalize volume to match the existing approved vocabulary audio.",Active grammar runtime gap: strict grammar variants need approved image and choice audio.,0,0,visual_adjective_image_and_word_audio,
wm-0012,P1,adjectives,clear,,adjective,false,true,,public/audio/vocabulary/clear.mp3,,"Record clean child-friendly American English audio for ""clear"". Say the whole word naturally only once. Do not spell it. No music, sound effects, echo, robotic voice, or background noise. Normalize volume to match the existing approved vocabulary audio.",Active grammar runtime gap: strict grammar variants need approved image and choice audio.,1,0,visual_adjective_image_and_word_audio,
wm-0013,P1,adjectives,cloudy,,adjective,true,true,public/images/assessment/language/variants/adjectives/cloudy-01.webp,public/audio/vocabulary/cloudy.mp3,"Create a clear child-friendly cartoon-realistic image showing the adjective ""cloudy"". Use a simple scene that makes the property obvious. No text, labels, signs, speech bubbles, logos, or watermarks. Natural colors; no random rainbow/sparkle/kawaii treatment.","Record clean child-friendly American English audio for ""cloudy"". Say the whole word naturally only once. Do not spell it. No music, sound effects, echo, robotic voice, or background noise. Normalize volume to match the existing approved vocabulary audio.",Active grammar runtime gap: strict grammar variants need approved image and choice audio.,0,0,visual_adjective_image_and_word_audio,
wm-0014,P1,adjectives,colorful,,adjective,true,true,public/images/assessment/language/variants/adjectives/colorful-01.webp,public/audio/vocabulary/colorful.mp3,"Create a clear child-friendly cartoon-realistic image showing the adjective ""colorful"". Use a simple scene that makes the property obvious. No text, labels, signs, speech bubbles, logos, or watermarks. Natural colors; no random rainbow/sparkle/kawaii treatment.","Record clean child-friendly American English audio for ""colorful"". Say the whole word naturally only once. Do not spell it. No music, sound effects, echo, robotic voice, or background noise. Normalize volume to match the existing approved vocabulary audio.",Active grammar runtime gap: strict grammar variants need approved image and choice audio.,0,0,visual_adjective_image_and_word_audio,
wm-0015,P1,adjectives,cool,,adjective,false,true,,public/audio/vocabulary/cool.mp3,,"Record clean child-friendly American English audio for ""cool"". Say the whole word naturally only once. Do not spell it. No music, sound effects, echo, robotic voice, or background noise. Normalize volume to match the existing approved vocabulary audio.",Active grammar runtime gap: strict grammar variants need approved image and choice audio.,1,0,visual_adjective_image_and_word_audio,
wm-0016,P1,adjectives,curved,,adjective,true,true,public/images/assessment/language/variants/adjectives/curved-01.webp,public/audio/vocabulary/curved.mp3,"Create a clear child-friendly cartoon-realistic image showing the adjective ""curved"". Use a simple scene that makes the property obvious. No text, labels, signs, speech bubbles, logos, or watermarks. Natural colors; no random rainbow/sparkle/kawaii treatment.","Record clean child-friendly American English audio for ""curved"". Say the whole word naturally only once. Do not spell it. No music, sound effects, echo, robotic voice, or background noise. Normalize volume to match the existing approved vocabulary audio.",Active grammar runtime gap: strict grammar variants need approved image and choice audio.,0,0,visual_adjective_image_and_word_audio,
wm-0017,P1,adjectives,deep,,adjective,false,true,,public/audio/vocabulary/deep.mp3,,"Record clean child-friendly American English audio for ""deep"". Say the whole word naturally only once. Do not spell it. No music, sound effects, echo, robotic voice, or background noise. Normalize volume to match the existing approved vocabulary audio.",Active grammar runtime gap: strict grammar variants need approved image and choice audio.,2,0,visual_adjective_image_and_word_audio,
wm-0018,P1,adjectives,different,,adjective,false,true,,public/audio/vocabulary/different.mp3,,"Record clean child-friendly American English audio for ""different"". Say the whole word naturally only once. Do not spell it. No music, sound effects, echo, robotic voice, or background noise. Normalize volume to match the existing approved vocabulary audio.",Active grammar runtime gap: strict grammar variants need approved image and choice audio.,1,0,visual_adjective_image_and_word_audio,
wm-0019,P1,adjectives,dull,,adjective,true,true,public/images/assessment/language/variants/adjectives/dull-01.webp,public/audio/vocabulary/dull.mp3,"Create a clear child-friendly cartoon-realistic image showing the adjective ""dull"". Use a simple scene that makes the property obvious. No text, labels, signs, speech bubbles, logos, or watermarks. Natural colors; no random rainbow/sparkle/kawaii treatment.","Record clean child-friendly American English audio for ""dull"". Say the whole word naturally only once. Do not spell it. No music, sound effects, echo, robotic voice, or background noise. Normalize volume to match the existing approved vocabulary audio.",Active grammar runtime gap: strict grammar variants need approved image and choice audio.,0,0,visual_adjective_image_and_word_audio,
wm-0020,P1,adjectives,early,,adjective,true,true,public/images/assessment/language/variants/adjectives/early-01.webp,public/audio/vocabulary/early.mp3,"Create a clear child-friendly cartoon-realistic image showing the adjective ""early"". Use a simple scene that makes the property obvious. No text, labels, signs, speech bubbles, logos, or watermarks. Natural colors; no random rainbow/sparkle/kawaii treatment.","Record clean child-friendly American English audio for ""early"". Say the whole word naturally only once. Do not spell it. No music, sound effects, echo, robotic voice, or background noise. Normalize volume to match the existing approved vocabulary audio.",Active grammar runtime gap: strict grammar variants need approved image and choice audio.,0,0,visual_adjective_image_and_word_audio,
wm-0021,P1,adjectives,easy,,adjective,true,true,public/images/assessment/language/variants/adjectives/easy-01.webp,public/audio/vocabulary/easy.mp3,"Create a clear child-friendly cartoon-realistic image showing the adjective ""easy"". Use a simple scene that makes the property obvious. No text, labels, signs, speech bubbles, logos, or watermarks. Natural colors; no random rainbow/sparkle/kawaii treatment.","Record clean child-friendly American English audio for ""easy"". Say the whole word naturally only once. Do not spell it. No music, sound effects, echo, robotic voice, or background noise. Normalize volume to match the existing approved vocabulary audio.",Active grammar runtime gap: strict grammar variants need approved image and choice audio.,0,0,visual_adjective_image_and_word_audio,
wm-0022,P1,adjectives,fluffy,,adjective,false,true,,public/audio/vocabulary/fluffy.mp3,,"Record clean child-friendly American English audio for ""fluffy"". Say the whole word naturally only once. Do not spell it. No music, sound effects, echo, robotic voice, or background noise. Normalize volume to match the existing approved vocabulary audio.",Active grammar runtime gap: strict grammar variants need approved image and choice audio.,1,0,visual_adjective_image_and_word_audio,
wm-0023,P1,adjectives,friendly,,adjective,true,true,public/images/assessment/language/variants/adjectives/friendly-01.webp,public/audio/vocabulary/friendly.mp3,"Create a clear child-friendly cartoon-realistic image showing the adjective ""friendly"". Use a simple scene that makes the property obvious. No text, labels, signs, speech bubbles, logos, or watermarks. Natural colors; no random rainbow/sparkle/kawaii treatment.","Record clean child-friendly American English audio for ""friendly"". Say the whole word naturally only once. Do not spell it. No music, sound effects, echo, robotic voice, or background noise. Normalize volume to match the existing approved vocabulary audio.",Active grammar runtime gap: strict grammar variants need approved image and choice audio.,0,0,visual_adjective_image_and_word_audio,
wm-0024,P1,adjectives,funny,,adjective,true,true,public/images/assessment/language/variants/adjectives/funny-01.webp,public/audio/vocabulary/funny.mp3,"Create a clear child-friendly cartoon-realistic image showing the adjective ""funny"". Use a simple scene that makes the property obvious. No text, labels, signs, speech bubbles, logos, or watermarks. Natural colors; no random rainbow/sparkle/kawaii treatment.","Record clean child-friendly American English audio for ""funny"". Say the whole word naturally only once. Do not spell it. No music, sound effects, echo, robotic voice, or background noise. Normalize volume to match the existing approved vocabulary audio.",Active grammar runtime gap: strict grammar variants need approved image and choice audio.,0,0,visual_adjective_image_and_word_audio,
wm-0025,P1,adjectives,fuzzy,,adjective,true,true,public/images/assessment/language/variants/adjectives/fuzzy-01.webp,public/audio/vocabulary/fuzzy.mp3,"Create a clear child-friendly cartoon-realistic image showing the adjective ""fuzzy"". Use a simple scene that makes the property obvious. No text, labels, signs, speech bubbles, logos, or watermarks. Natural colors; no random rainbow/sparkle/kawaii treatment.","Record clean child-friendly American English audio for ""fuzzy"". Say the whole word naturally only once. Do not spell it. No music, sound effects, echo, robotic voice, or background noise. Normalize volume to match the existing approved vocabulary audio.",Active grammar runtime gap: strict grammar variants need approved image and choice audio.,0,0,visual_adjective_image_and_word_audio,
wm-0026,P1,adjectives,gentle,,adjective,false,true,,public/audio/vocabulary/gentle.mp3,,"Record clean child-friendly American English audio for ""gentle"". Say the whole word naturally only once. Do not spell it. No music, sound effects, echo, robotic voice, or background noise. Normalize volume to match the existing approved vocabulary audio.",Active grammar runtime gap: strict grammar variants need approved image and choice audio.,1,0,visual_adjective_image_and_word_audio,
wm-0027,P1,adjectives,gold,,adjective,true,true,public/images/assessment/language/variants/adjectives/gold-01.webp,public/audio/vocabulary/gold.mp3,"Create a clear child-friendly cartoon-realistic image showing the adjective ""gold"". Use a simple scene that makes the property obvious. No text, labels, signs, speech bubbles, logos, or watermarks. Natural colors; no random rainbow/sparkle/kawaii treatment.","Record clean child-friendly American English audio for ""gold"". Say the whole word naturally only once. Do not spell it. No music, sound effects, echo, robotic voice, or background noise. Normalize volume to match the existing approved vocabulary audio.",Active grammar runtime gap: strict grammar variants need approved image and choice audio.,0,0,visual_adjective_image_and_word_audio,
wm-0028,P1,adjectives,good,,adjective,false,true,,public/audio/vocabulary/good.mp3,,"Record clean child-friendly American English audio for ""good"". Say the whole word naturally only once. Do not spell it. No music, sound effects, echo, robotic voice, or background noise. Normalize volume to match the existing approved vocabulary audio.",Active grammar runtime gap: strict grammar variants need approved image and choice audio.,1,0,visual_adjective_image_and_word_audio,
wm-0029,P1,adjectives,harder,,adjective,true,true,public/images/assessment/language/variants/adjectives/harder-01.webp,public/audio/vocabulary/harder.mp3,"Create a clear child-friendly cartoon-realistic image showing the adjective ""harder"". Use a simple scene that makes the property obvious. No text, labels, signs, speech bubbles, logos, or watermarks. Natural colors; no random rainbow/sparkle/kawaii treatment.","Record clean child-friendly American English audio for ""harder"". Say the whole word naturally only once. Do not spell it. No music, sound effects, echo, robotic voice, or background noise. Normalize volume to match the existing approved vocabulary audio.",Active grammar runtime gap: strict grammar variants need approved image and choice audio.,0,0,visual_adjective_image_and_word_audio,
wm-0030,P1,adjectives,helpful,,adjective,true,true,public/images/assessment/language/variants/adjectives/helpful-01.webp,public/audio/vocabulary/helpful.mp3,"Create a clear child-friendly cartoon-realistic image showing the adjective ""helpful"". Use a simple scene that makes the property obvious. No text, labels, signs, speech bubbles, logos, or watermarks. Natural colors; no random rainbow/sparkle/kawaii treatment.","Record clean child-friendly American English audio for ""helpful"". Say the whole word naturally only once. Do not spell it. No music, sound effects, echo, robotic voice, or background noise. Normalize volume to match the existing approved vocabulary audio.",Active grammar runtime gap: strict grammar variants need approved image and choice audio.,0,0,visual_adjective_image_and_word_audio,
wm-0031,P1,adjectives,honest,,adjective,true,true,public/images/assessment/language/variants/adjectives/honest-01.webp,public/audio/vocabulary/honest.mp3,"Create a clear child-friendly cartoon-realistic image showing the adjective ""honest"". Use a simple scene that makes the property obvious. No text, labels, signs, speech bubbles, logos, or watermarks. Natural colors; no random rainbow/sparkle/kawaii treatment.","Record clean child-friendly American English audio for ""honest"". Say the whole word naturally only once. Do not spell it. No music, sound effects, echo, robotic voice, or background noise. Normalize volume to match the existing approved vocabulary audio.",Active grammar runtime gap: strict grammar variants need approved image and choice audio.,0,0,visual_adjective_image_and_word_audio,
wm-0032,P1,adjectives,huge,,adjective,false,true,,public/audio/vocabulary/huge.mp3,,"Record clean child-friendly American English audio for ""huge"". Say the whole word naturally only once. Do not spell it. No music, sound effects, echo, robotic voice, or background noise. Normalize volume to match the existing approved vocabulary audio.",Active grammar runtime gap: strict grammar variants need approved image and choice audio.,1,0,visual_adjective_image_and_word_audio,
wm-0033,P1,adjectives,kind,,adjective,false,true,,public/audio/vocabulary/kind.mp3,,"Record clean child-friendly American English audio for ""kind"". Say the whole word naturally only once. Do not spell it. No music, sound effects, echo, robotic voice, or background noise. Normalize volume to match the existing approved vocabulary audio.",Active grammar runtime gap: strict grammar variants need approved image and choice audio.,1,0,visual_adjective_image_and_word_audio,
