acceptable,review_notes,delete_reason,skill_id,band,level,phase,question_id,question_type,target_word,prompt,sentence_with_blank,full_sentence,answer_choices,correct_answer,letter_tiles,correct_letter_sequence,image_path,audio_path,template_key,content_key,target_template_key,source,source_sheet,generator_notes,possible_problem_flags
Y,,,hfw_1_25,1-25,1,1,hfw_true_hfw_1_25_the_l1p1_01,multiple_choice,the,Choose the word that completes the sentence.,Please close ___ blue door.,Please close the blue door.,can | one | come | the | can | one | come | the | can | one | come | the,the,,,/images/assessment/hfw/variants/hfw-1-25/the-l1p1-02.webp,,HFW_SENTENCE_CLOZE_L1P1_01,the::HFW_SENTENCE_CLOZE_L1P1_01::please close ___ blue door::the::can|can|can|come|come|come|one|one|one|the|the|the::/images/assessment/hfw/variants/hfw-1-25/the-l1p1-02.webp,the::HFW_SENTENCE_CLOZE_L1P1_01,hfw_true_variation_generator,HFW 1-25,sentence_frame=please close ___ blue door,
Y,,,hfw_1_25,1-25,1,1,hfw_true_hfw_1_25_the_l1p1_02,multiple_choice,the,Choose the word that completes the sentence.,I opened ___ red box.,I opened the red box.,one | come | the | can | one | come | the | can | one | come | the | can,the,,,/images/assessment/hfw/variants/hfw-1-25/the-l1p1-03.webp,,HFW_SENTENCE_CLOZE_L1P1_02,the::HFW_SENTENCE_CLOZE_L1P1_02::i opened ___ red box::the::can|can|can|come|come|come|one|one|one|the|the|the::/images/assessment/hfw/variants/hfw-1-25/the-l1p1-03.webp,the::HFW_SENTENCE_CLOZE_L1P1_02,hfw_true_variation_generator,HFW 1-25,sentence_frame=i opened ___ red box,
Y,,,hfw_1_25,1-25,1,2,hfw_true_hfw_1_25_the_l1p2_01,multiple_choice,the,Read the sentence. Choose the word that fits.,Nora read ___ short note.,Nora read the short note.,in | is | the | i | in | is | the | i | in | is | the | i,the,,,/images/assessment/hfw/variants/hfw-1-25/the-l1p2-02.webp,,HFW_SENTENCE_CLOZE_L1P2_01,the::HFW_SENTENCE_CLOZE_L1P2_01::nora read ___ short note::the::i|i|i|in|in|in|is|is|is|the|the|the::/images/assessment/hfw/variants/hfw-1-25/the-l1p2-02.webp,the::HFW_SENTENCE_CLOZE_L1P2_01,hfw_true_variation_generator,HFW 1-25,sentence_frame=nora read ___ short note,
Y,,,hfw_1_25,1-25,2,1,hfw_true_hfw_1_25_the_l2p1_01,hfw_sentence_spell,the,Listen to the sentence. Spell the word that fits.,Tess fed ___ little puppy.,Tess fed the little puppy.,,the,h e z y w e n t k g u l,the,/images/assessment/hfw/variants/hfw-1-25/the-l2p1-02.webp,,HFW_SENTENCE_SPELL_L2P1_01,the::HFW_SENTENCE_SPELL_L2P1_01::tess fed ___ little puppy::the::/images/assessment/hfw/variants/hfw-1-25/the-l2p1-02.webp,the::HFW_SENTENCE_SPELL_L2P1_01,hfw_true_variation_generator,HFW 1-25,sentence_frame=tess fed ___ little puppy,
Y,,,hfw_1_25,1-25,2,2,hfw_true_hfw_1_25_the_l2p2_01,hfw_sentence_spell,the,Listen to the sentence. Spell the word that fits.,Ben opened ___ silver lock.,Ben opened the silver lock.,,the,e e y t s n q k h u l t,the,/images/assessment/hfw/variants/hfw-1-25/the-l2p2-02.webp,,HFW_SENTENCE_SPELL_L2P2_01,the::HFW_SENTENCE_SPELL_L2P2_01::ben opened ___ silver lock::the::/images/assessment/hfw/variants/hfw-1-25/the-l2p2-02.webp,the::HFW_SENTENCE_SPELL_L2P2_01,hfw_true_variation_generator,HFW 1-25,sentence_frame=ben opened ___ silver lock,
Y,,,hfw_1_25,1-25,1,1,hfw_true_hfw_1_25_to_l1p1_01,multiple_choice,to,Choose the word that completes the sentence.,"When the puppy barked, we walked ___ the park gate.","When the puppy barked, we walked to the park gate.",see | you | to | and | see | you | to | and | see | you | to | and,to,,,/images/assessment/hfw/variants/hfw-1-25/to-l1p1-02.webp,,HFW_SENTENCE_CLOZE_L1P1_02,to::HFW_SENTENCE_CLOZE_L1P1_02::when the puppy barked we walked ___ the park gate::to::and|and|and|see|see|see|to|to|to|you|you|you::/images/assessment/hfw/variants/hfw-1-25/to-l1p1-02.webp,to::HFW_SENTENCE_CLOZE_L1P1_02,hfw_true_variation_generator,HFW 1-25,sentence_frame=when the puppy barked we walked ___ the park gate,mechanical_sentence
Y,,,hfw_1_25,1-25,1,1,hfw_true_hfw_1_25_to_l1p1_02,multiple_choice,to,Choose the word that completes the sentence.,We walked ___ the park.,We walked to the park.,you | to | and | see | you | to | and | see | you | to | and | see,to,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_to_s01.webp,,HFW_SENTENCE_CLOZE_L1P1_03,to::HFW_SENTENCE_CLOZE_L1P1_03::we walked ___ the park::to::and|and|and|see|see|see|to|to|to|you|you|you::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_to_s01.webp,to::HFW_SENTENCE_CLOZE_L1P1_03,hfw_true_variation_generator,HFW 1-25,sentence_frame=we walked ___ the park,
Y,,,hfw_1_25,1-25,1,1,hfw_true_hfw_1_25_to_l1p1_03,multiple_choice,to,Choose the word that completes the sentence.,I gave the ball ___ Mia.,I gave the ball to Mia.,to | me | my | and | to | me | my | and | to | me | my | and,to,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_to_s02.webp,,HFW_SENTENCE_CLOZE_L1P1_04,to::HFW_SENTENCE_CLOZE_L1P1_04::i gave the ball ___ mia::to::and|and|and|me|me|me|my|my|my|to|to|to::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_to_s02.webp,to::HFW_SENTENCE_CLOZE_L1P1_04,hfw_true_variation_generator,HFW 1-25,sentence_frame=i gave the ball ___ mia,
Y,,,hfw_1_25,1-25,1,1,hfw_true_hfw_1_25_to_l1p1_04,multiple_choice,to,Choose the word that completes the sentence.,The cat ran ___ the door.,The cat ran to the door.,go | me | my | to | go | me | my | to | go | me | my | to,to,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_to_s03.webp,,HFW_SENTENCE_CLOZE_L1P1_05,to::HFW_SENTENCE_CLOZE_L1P1_05::the cat ran ___ the door::to::go|go|go|me|me|me|my|my|my|to|to|to::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_to_s03.webp,to::HFW_SENTENCE_CLOZE_L1P1_05,hfw_true_variation_generator,HFW 1-25,sentence_frame=the cat ran ___ the door,
Y,,,hfw_1_25,1-25,1,1,hfw_true_hfw_1_25_to_l1p1_05,multiple_choice,to,Choose the word that completes the sentence.,She went ___ the library.,She went to the library.,me | my | to | go | me | my | to | go | me | my | to | go,to,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_to_s04.webp,,HFW_SENTENCE_CLOZE_L1P1_06,to::HFW_SENTENCE_CLOZE_L1P1_06::she went ___ the library::to::go|go|go|me|me|me|my|my|my|to|to|to::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_to_s04.webp,to::HFW_SENTENCE_CLOZE_L1P1_06,hfw_true_variation_generator,HFW 1-25,sentence_frame=she went ___ the library,
