acceptable,issue_type,severity,replacement_needed,reviewer_notes,image_id,path,target_word,skill_id,area,contact_sheet,contact_sheet_position,current_qa_status,suggested_kimi_replacement_prompt
Y,,,N,,img_007314,/media/vocabulary/images/about.webp,about,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,1,unreviewed,"Create a clean clear target object/action art replacement for about. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/about.webp"
Y,,,N,,img_007315,/media/vocabulary/images/above.webp,above,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,2,unreviewed,"Create a clean clear target object/action art replacement for above. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/above.webp"
Y,,,N,,img_007316,/media/vocabulary/images/across.webp,across,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,3,unreviewed,"Create a clean clear target object/action art replacement for across. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/across.webp"
Y,,,N,,img_007317,/media/vocabulary/images/add.webp,add,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,4,unreviewed,"Create a clean clear target object/action art replacement for add. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/add.webp"
Y,,,N,,img_007318,/media/vocabulary/images/adjective-beautiful.webp,beautiful,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,5,unreviewed,"Create a clean clear target object/action art replacement for beautiful. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/adjective-beautiful.webp"
Y,,,N,,img_007319,/media/vocabulary/images/adjective-brave.webp,brave,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,6,unreviewed,"Create a clean clear target object/action art replacement for brave. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/adjective-brave.webp"
Y,,,N,,img_007320,/media/vocabulary/images/adjective-brown.webp,brown,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,7,unreviewed,"Create a clean clear target object/action art replacement for brown. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/adjective-brown.webp"
Y,,,N,,img_007321,/media/vocabulary/images/adjective-bumpy.webp,bumpy,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,8,unreviewed,"Create a clean clear target object/action art replacement for bumpy. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/adjective-bumpy.webp"
Y,,,N,,img_007322,/media/vocabulary/images/adjective-calm.webp,calm,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,9,unreviewed,"Create a clean clear target object/action art replacement for calm. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/adjective-calm.webp"
Y,,,N,,img_007323,/media/vocabulary/images/adjective-crisp.webp,crisp,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,10,unreviewed,"Create a clean clear target object/action art replacement for crisp. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/adjective-crisp.webp"
Y,,,N,,img_007324,/media/vocabulary/images/adjective-cute.webp,cute,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,11,unreviewed,"Create a clean clear target object/action art replacement for cute. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/adjective-cute.webp"
Y,,,N,,img_007325,/media/vocabulary/images/adjective-deep.webp,deep,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,12,unreviewed,"Create a clean clear target object/action art replacement for deep. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/adjective-deep.webp"
Y,,,N,,img_007326,/media/vocabulary/images/adjective-dusty.webp,dusty,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,13,unreviewed,"Create a clean clear target object/action art replacement for dusty. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/adjective-dusty.webp"
Y,,,N,,img_007327,/media/vocabulary/images/adjective-fierce.webp,fierce,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,14,unreviewed,"Create a clean clear target object/action art replacement for fierce. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/adjective-fierce.webp"
Y,,,N,,img_007328,/media/vocabulary/images/adjective-fluffy.webp,fluffy,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,15,unreviewed,"Create a clean clear target object/action art replacement for fluffy. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/adjective-fluffy.webp"
Y,,,N,,img_007329,/media/vocabulary/images/adjective-gentle.webp,gentle,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,16,unreviewed,"Create a clean clear target object/action art replacement for gentle. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/adjective-gentle.webp"
Y,,,N,,img_007330,/media/vocabulary/images/adjective-huge.webp,huge,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,17,unreviewed,"Create a clean clear target object/action art replacement for huge. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/adjective-huge.webp"
Y,,,N,,img_007331,/media/vocabulary/images/adjective-loud.webp,loud,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,18,unreviewed,"Create a clean clear target object/action art replacement for loud. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/adjective-loud.webp"
Y,,,N,,img_007332,/media/vocabulary/images/adjective-new.webp,new,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,19,unreviewed,"Create a clean clear target object/action art replacement for new. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/adjective-new.webp"
Y,,,N,,img_007333,/media/vocabulary/images/adjective-noisy.webp,noisy,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,20,unreviewed,"Create a clean clear target object/action art replacement for noisy. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/adjective-noisy.webp"
