file,index,item
sounds-01.mp3,1,"the sound ""a"" as at the start of APPLE — ""aaa"" (never ""ay"")"
sounds-01.mp3,2,"the sound ""b"" as in BAT — one crisp ""b"""
sounds-01.mp3,3,"the sound ""c"" as in CAT — one crisp ""k"""
sounds-01.mp3,4,"the sound ""d"" as in DOG — one crisp ""d"""
sounds-01.mp3,5,"the sound ""e"" as at the start of EGG — ""eh"" (never ""ee"")"
sounds-01.mp3,6,"the sound ""f"" — stretchy ""fff"""
sounds-01.mp3,7,"the hard sound ""g"" as in GOAT — one crisp ""g"""
sounds-01.mp3,8,"the sound ""h"" — a soft breathy ""hhh"""
sounds-01.mp3,9,"the sound ""i"" as at the start of IGLOO — ""ih"" (never ""eye"")"
sounds-01.mp3,10,"the sound ""j"" as in JAM"
sounds-01.mp3,11,"the sound ""k"" as in KITE — one crisp ""k"""
sounds-01.mp3,12,"the sound ""l"" — stretchy ""lll"""
sounds-01.mp3,13,"the sound ""m"" — stretchy ""mmm"""
sounds-01.mp3,14,"the sound ""n"" — stretchy ""nnn"""
sounds-01.mp3,15,"the sound ""o"" as at the start of OCTOPUS — ""o"" as in hot (never ""oh"")"
sounds-01.mp3,16,"the sound ""p"" — one crisp ""p"""
sounds-01.mp3,17,"the sound ""q"" as at the start of QUEEN — ""kw"""
sounds-01.mp3,18,"the sound ""r"" — stretchy ""rrr"" as in run"
sounds-01.mp3,19,"the sound ""s"" — stretchy ""sss"""
sounds-01.mp3,20,"the sound ""t"" — one crisp ""t"""
sounds-01.mp3,21,"the sound ""u"" as at the start of UMBRELLA — ""uh"" as in cup (never ""you"")"
sounds-01.mp3,22,"the sound ""v"" — stretchy ""vvv"""
sounds-01.mp3,23,"the sound ""w"" as in WEB — ""wuh"", as light as you can"
sounds-01.mp3,24,"the sound ""x"" as at the END of BOX — ""ks"""
sounds-01.mp3,25,"the sound ""y"" as in YES — ""yuh"", as light as you can"
sounds-01.mp3,26,"the sound ""z"" — stretchy ""zzz"""
sounds-01.mp3,27,"the sound ""sh"" as in SHIP — ""shhh"""
sounds-01.mp3,28,"the sound ""ch"" as in CHAT"
sounds-01.mp3,29,"the sound ""th"" as in THUMB (soft, no voice)"
sounds-01.mp3,30,"the sound ""ng"" as at the end of RING"
sounds-01.mp3,31,"the sound ""qu"" as in QUEEN — ""kw"""
sounds-01.mp3,32,"the sound ""ck"" as at the end of DUCK — one crisp ""k"""
sounds-01.mp3,33,"the LETTER NAME ""ay"""
sounds-01.mp3,34,"the LETTER NAME ""bee"""
sounds-01.mp3,35,"the LETTER NAME ""see"""
sounds-01.mp3,36,"the LETTER NAME ""dee"""
sounds-01.mp3,37,"the LETTER NAME ""ee"""
sounds-01.mp3,38,"the LETTER NAME ""eff"""
sounds-01.mp3,39,"the LETTER NAME ""jee"""
sounds-01.mp3,40,"the LETTER NAME ""aitch"""
sounds-01.mp3,41,"the LETTER NAME ""eye"""
sounds-01.mp3,42,"the LETTER NAME ""jay"""
sounds-01.mp3,43,"the LETTER NAME ""kay"""
sounds-01.mp3,44,"the LETTER NAME ""el"""
sounds-01.mp3,45,"the LETTER NAME ""em"""
sounds-01.mp3,46,"the LETTER NAME ""en"""
sounds-01.mp3,47,"the LETTER NAME ""oh"""
sounds-01.mp3,48,"the LETTER NAME ""pee"""
sounds-01.mp3,49,"the LETTER NAME ""cue"""
sounds-01.mp3,50,"the LETTER NAME ""ar"""
sounds-01.mp3,51,"the LETTER NAME ""ess"""
sounds-01.mp3,52,"the LETTER NAME ""tee"""
sounds-01.mp3,53,"the LETTER NAME ""you"""
sounds-01.mp3,54,"the LETTER NAME ""vee"""
sounds-01.mp3,55,"the LETTER NAME ""double-you"""
