qa_status,acceptable,rejection_reason,reviewer_notes,question_id,skill_id,band,level,phase,target_word,question_type,sentence_with_blank,full_sentence,correct_answer,answer_choices,image_path,image_preview_path,image_role,image_policy,replacement_needed,kimi_prompt
no_image_required,,,,HFWQ-0001,hfw_1_25,HFW 1-25,1,1,the,multiple_choice,___ dog slept under my chair.,The dog slept under my chair.,the,is | for | said | the,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""The dog slept under my chair."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0002,hfw_1_25,HFW 1-25,1,2,the,multiple_choice,___ moon shone above our house.,The moon shone above our house.,the,look | for | said | the,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""The moon shone above our house."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0003,hfw_1_25,HFW 1-25,1,2,the,multiple_choice,___ red ball rolled away.,The red ball rolled away.,the,look | come | the | said,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""The red ball rolled away."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0004,hfw_1_25,HFW 1-25,2,1,the,hfw_sentence_spell,___ small bird sat quietly.,The small bird sat quietly.,the,,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""The small bird sat quietly."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0005,hfw_1_25,HFW 1-25,2,2,the,hfw_sentence_spell,___ bus stopped beside us.,The bus stopped beside us.,the,,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""The bus stopped beside us."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0006,hfw_1_25,HFW 1-25,2,2,the,hfw_sentence_spell,___ kitten jumped onto my lap.,The kitten jumped onto my lap.,the,,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""The kitten jumped onto my lap."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0007,hfw_1_25,HFW 1-25,1,1,of,multiple_choice,A cup ___ milk sat on the table.,A cup of milk sat on the table.,of,number | people | of | you,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""A cup of milk sat on the table."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0008,hfw_1_25,HFW 1-25,1,2,of,multiple_choice,The top ___ the box was open.,The top of the box was open.,of,people | of | water | number,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""The top of the box was open."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0009,hfw_1_25,HFW 1-25,1,2,of,multiple_choice,A group ___ birds flew away.,A group of birds flew away.,of,look | of | people | water,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""A group of birds flew away."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0010,hfw_1_25,HFW 1-25,2,1,of,hfw_sentence_spell,The sound ___ rain filled the room.,The sound of rain filled the room.,of,,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""The sound of rain filled the room."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0011,hfw_1_25,HFW 1-25,2,2,of,hfw_sentence_spell,A slice ___ cake was on the plate.,A slice of cake was on the plate.,of,,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""A slice of cake was on the plate."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
