word,missing_image,missing_audio,imageability,decodability_band,primary_section,meaning_clue,suggested_image_path,suggested_audio_path,image_prompt,audio_prompt,notes
about,TRUE,FALSE,Low,Grade 1-2,Diphthongs ou / ow,grammar/function word used to build sentences,/media/vocabulary/images/about.webp,,"Child-friendly early-reader illustration for ""about"". Classroom meaning clue: grammar/function word used to build sentences. Because this is abstract or function-word-like, use a simple situational context that suggests meaning without written words. No text, letters, labels, watermark, or unsafe content.",,Do not use as image-only target unless meaning is concrete. Useful for vowel-team decoding/spelling. Useful for advanced vowel sound work.
across,TRUE,FALSE,Low,Grade 2-3,Common function / grammar words K-3,grammar/function word used to build sentences,/media/vocabulary/images/across.webp,,"Child-friendly early-reader illustration for ""across"". Classroom meaning clue: grammar/function word used to build sentences. Because this is abstract or function-word-like, use a simple situational context that suggests meaning without written words. No text, letters, labels, watermark, or unsafe content.",,Do not use as image-only target unless meaning is concrete.
add,TRUE,FALSE,Medium,K-Grade 3 vocabulary,Common verbs K-3,action word; use in a simple sentence or picture prompt,/media/vocabulary/images/add.webp,,"Child-friendly early-reader illustration for ""add"". Classroom meaning clue: action word; use in a simple sentence or picture prompt. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,3
against,TRUE,FALSE,Low,,Common function / grammar words K-3,grammar/function word used to build sentences,/media/vocabulary/images/against.webp,,"Child-friendly early-reader illustration for ""against"". Classroom meaning clue: grammar/function word used to build sentences. Because this is abstract or function-word-like, use a simple situational context that suggests meaning without written words. No text, letters, labels, watermark, or unsafe content.",,Do not use as image-only target unless meaning is concrete. Useful for vowel-team decoding/spelling.
aid,TRUE,TRUE,Medium,Grade 1-2,Long a vowel teams ai / ay / eigh,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/aid.webp,/media/vocabulary/audio/aid.mp3,"Child-friendly early-reader illustration for ""aid"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""aid"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Useful for vowel-team decoding/spelling.
aim,TRUE,TRUE,Medium,Grade 1-2,Long a vowel teams ai / ay / eigh,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/aim.webp,/media/vocabulary/audio/aim.mp3,"Child-friendly early-reader illustration for ""aim"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""aim"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Useful for vowel-team decoding/spelling.
air,TRUE,FALSE,High,Grade 1-2,Long a vowel teams ai / ay / eigh,nature/place word,/media/vocabulary/images/air.webp,,"Child-friendly early-reader illustration for ""air"". Classroom meaning clue: nature/place word. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,Useful for r-controlled vowel sorting. Useful for vowel-team decoding/spelling.
almost,TRUE,FALSE,Low,Grade 1-2,Au / aw / al / all,grammar/function word used to build sentences,/media/vocabulary/images/almost.webp,,"Child-friendly early-reader illustration for ""almost"". Classroom meaning clue: grammar/function word used to build sentences. Because this is abstract or function-word-like, use a simple situational context that suggests meaning without written words. No text, letters, labels, watermark, or unsafe content.",,Do not use as image-only target unless meaning is concrete.
along,TRUE,FALSE,Low,Grade 2-3,Common function / grammar words K-3,grammar/function word used to build sentences,/media/vocabulary/images/along.webp,,"Child-friendly early-reader illustration for ""along"". Classroom meaning clue: grammar/function word used to build sentences. Because this is abstract or function-word-like, use a simple situational context that suggests meaning without written words. No text, letters, labels, watermark, or unsafe content.",,Do not use as image-only target unless meaning is concrete.
also,TRUE,FALSE,Low,,High-frequency regular and partly decodable K-3 words,grammar/function word used to build sentences,/media/vocabulary/images/also.webp,,"Child-friendly early-reader illustration for ""also"". Classroom meaning clue: grammar/function word used to build sentences. Because this is abstract or function-word-like, use a simple situational context that suggests meaning without written words. No text, letters, labels, watermark, or unsafe content.",,Do not use as image-only target unless meaning is concrete.
always,TRUE,FALSE,Low,,Long a vowel teams ai / ay / eigh,grammar/function word used to build sentences,/media/vocabulary/images/always.webp,,"Child-friendly early-reader illustration for ""always"". Classroom meaning clue: grammar/function word used to build sentences. Because this is abstract or function-word-like, use a simple situational context that suggests meaning without written words. No text, letters, labels, watermark, or unsafe content.",,Do not use as image-only target unless meaning is concrete. Useful for vowel-team decoding/spelling.
am,TRUE,FALSE,Low,K-Grade 1,VC / CV / very early words,grammar/function word used to build sentences,/media/vocabulary/images/am.webp,,"Child-friendly early-reader illustration for ""am"". Classroom meaning clue: grammar/function word used to build sentences. Because this is abstract or function-word-like, use a simple situational context that suggests meaning without written words. No text, letters, labels, watermark, or unsafe content.",,Do not use as image-only target unless meaning is concrete.
among,TRUE,TRUE,Low,Grade 2-3,Common function / grammar words K-3,grammar/function word used to build sentences,/media/vocabulary/images/among.webp,/media/vocabulary/audio/among.mp3,"Child-friendly early-reader illustration for ""among"". Classroom meaning clue: grammar/function word used to build sentences. Because this is abstract or function-word-like, use a simple situational context that suggests meaning without written words. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""among"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Do not use as image-only target unless meaning is concrete.
annoy,TRUE,TRUE,Medium,Grade 1-2,Diphthongs oi / oy,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/annoy.webp,/media/vocabulary/audio/annoy.mp3,"Child-friendly early-reader illustration for ""annoy"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""annoy"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Useful for vowel-team decoding/spelling. Useful for advanced vowel sound work.
another,TRUE,FALSE,Low,Grade 2-3,Common function / grammar words K-3,grammar/function word used to build sentences,/media/vocabulary/images/another.webp,,"Child-friendly early-reader illustration for ""another"". Classroom meaning clue: grammar/function word used to build sentences. Because this is abstract or function-word-like, use a simple situational context that suggests meaning without written words. No text, letters, labels, watermark, or unsafe content.",,Do not use as image-only target unless meaning is concrete. Useful for r-controlled vowel sorting.
ape,TRUE,FALSE,High,K-Grade 3 vocabulary,Common early nouns - animals,animal / creature word,/media/vocabulary/images/ape.webp,,"Child-friendly early-reader illustration for ""ape"". Classroom meaning clue: animal / creature word. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,3
argue,TRUE,TRUE,Medium,,Long u / oo / ew / ue,common K-3 vocabulary word,/media/vocabulary/images/argue.webp,/media/vocabulary/audio/argue.mp3,"Child-friendly early-reader illustration for ""argue"". Classroom meaning clue: common K-3 vocabulary word. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""argue"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Useful for r-controlled vowel sorting. Useful for vowel-team decoding/spelling.
ark,TRUE,TRUE,Medium,Grade 1-2,R-controlled ar,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/ark.webp,/media/vocabulary/audio/ark.mp3,"Child-friendly early-reader illustration for ""ark"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""ark"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Useful for r-controlled vowel sorting.
art,TRUE,TRUE,Medium,Grade 1-2,R-controlled ar,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/art.webp,/media/vocabulary/audio/art.mp3,"Child-friendly early-reader illustration for ""art"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""art"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Useful for r-controlled vowel sorting.
at,TRUE,FALSE,Low,K-Grade 1,VC / CV / very early words,grammar/function word used to build sentences,/media/vocabulary/images/at.webp,,"Child-friendly early-reader illustration for ""at"". Classroom meaning clue: grammar/function word used to build sentences. Because this is abstract or function-word-like, use a simple situational context that suggests meaning without written words. No text, letters, labels, watermark, or unsafe content.",,Do not use as image-only target unless meaning is concrete.
ate,TRUE,FALSE,Low,K-Grade 3 sight/fluency,High-frequency regular and partly decodable K-3 words,common high-frequency word for reading fluency,/media/vocabulary/images/ate.webp,,"Child-friendly early-reader illustration for ""ate"". Classroom meaning clue: common high-frequency word for reading fluency. Because this is abstract or function-word-like, use a simple situational context that suggests meaning without written words. No text, letters, labels, watermark, or unsafe content.",,Do not use as image-only target unless meaning is concrete.
august,TRUE,FALSE,Medium-Low,,Au / aw / al / all,common K-3 vocabulary word,/media/vocabulary/images/august.webp,,"Child-friendly early-reader illustration for ""august"". Classroom meaning clue: common K-3 vocabulary word. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,Useful for vowel-team decoding/spelling.
author,TRUE,TRUE,Medium-Low,,Au / aw / al / all,common K-3 vocabulary word,/media/vocabulary/images/author.webp,/media/vocabulary/audio/author.mp3,"Child-friendly early-reader illustration for ""author"". Classroom meaning clue: common K-3 vocabulary word. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""author"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Useful for r-controlled vowel sorting. Useful for vowel-team decoding/spelling.
baby,TRUE,FALSE,High,Grade 2-3,Simple two-syllable decodable words,very young child,/media/vocabulary/images/baby.webp,,"Child-friendly early-reader illustration for ""baby"". Classroom meaning clue: very young child. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,4
bags,TRUE,FALSE,Medium,,Inflections - plural / s / es,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/bags.webp,,"Child-friendly early-reader illustration for ""bags"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,Good for early blending and initial/final sound tasks.
bait,TRUE,TRUE,Medium,Grade 1-2,Long a vowel teams ai / ay / eigh,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/bait.webp,/media/vocabulary/audio/bait.mp3,"Child-friendly early-reader illustration for ""bait"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""bait"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Useful for vowel-team decoding/spelling.
bake,TRUE,FALSE,Medium,Grade 1-2,CVCe long a,action word; use in a simple sentence or picture prompt,/media/vocabulary/images/bake.webp,,"Child-friendly early-reader illustration for ""bake"". Classroom meaning clue: action word; use in a simple sentence or picture prompt. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,Good for early blending and initial/final sound tasks.
